page	task	sample	Number of organisations	Number of attachments	Largest attachment	Total size	Number of updates	Number of downloads
inheritance-tax-direct-payment-scheme-bank-or-building-society-account-iht423		not	0.01	0.01	0.00953283	0.00953283	0.02	0.00000000
inheritance-tax-domicile-outside-the-united-kingdom-d31		not	0.01	0.01	0.00382261	0.00382261	0.01	0.00000000
inheritance-tax-domicile-outside-the-united-kingdom-iht401		not	0.01	0.01	0.01734772	0.01734772	0.01	0.00000000
inheritance-tax-election-for-inheritance-tax-to-apply-to-asset-previously-owned-iht500		not	0.01	0.02	0.01075640	0.01953688	0.01	0.00000000
inheritance-tax-foreign-assets-d39		not	0.01	0.01	0.09032936	0.09032936	0.01	0.00000000
inheritance-tax-foreign-assets-iht417		not	0.01	0.01	0.00977917	0.00977917	0.01	0.00000000
inheritance-tax-gifts-and-other-transfers-of-value-iht100a		not	0.01	0.01	0.01529665	0.01529665	0.01	0.00000000
inheritance-tax-household-and-personal-goods-d35		not	0.01	0.01	0.00436611	0.00436611	0.01	0.00000000
inheritance-tax-household-and-personal-goods-donated-to-charity-iht408		not	0.01	0.01	0.04527569	0.04527569	0.02	0.00000000
inheritance-tax-household-and-personal-goods-iht407		not	0.01	0.01	0.01240683	0.01240683	0.02	0.00000000
inheritance-tax-houses-land-buildings-and-interest-in-land-iht405		not	0.01	0.01	0.01356812	0.01356812	0.02	0.00000000
inheritance-tax-information-about-small-estates-c5-se-2006		not	0.01	0.02	0.08423100	0.10106812	0.01	0.00000000
inheritance-tax-inheritance-tax-account-iht100		not	0.01	0.06	0.07451973	0.19946623	0.01	0.00000000
inheritance-tax-inheritance-tax-account-iht400		not	0.01	0.05	0.10167713	0.21697865	0.04	0.00000000
inheritance-tax-interest-in-another-estate-iht415		not	0.01	0.01	0.01098175	0.01098175	0.01	0.00000000
inheritance-tax-jointly-owned-assets-iht404		not	0.01	0.01	0.05840721	0.05840721	0.03	0.00000000
inheritance-tax-land-buildings-and-interests-in-land-d36		not	0.01	0.01	0.09012232	0.09012232	0.01	0.00000000
inheritance-tax-life-assurance-and-annuities-iht410		not	0.01	0.01	0.02384720	0.02384720	0.02	0.00000000
inheritance-tax-life-insurance-and-annuities-d34		not	0.01	0.01	0.00321674	0.00321674	0.01	0.00000000
inheritance-tax-listed-stocks-and-shares-iht411		not	0.01	0.01	0.01078491	0.01078491	0.02	0.00000000
inheritance-tax-national-heritage-assets-conditional-exemption-and-maintenance-funds-iht420		not	0.01	0.01	0.00926886	0.00926886	0.01	0.00000000
inheritance-tax-non-interest-in-possession-settlements-principal-charge-ten-year-anniversary-iht100d		not	0.01	0.01	0.01626091	0.01626091	0.01	0.00000000
inheritance-tax-notes-for-completion-of-forms-c1-and-c5-c3-2004		not	0.01	0.01	0.03587742	0.03587742	0.01	0.00000000
inheritance-tax-notes-for-completion-of-forms-c1-and-c5-c3-2006		not	0.01	0.01	0.08650808	0.08650808	0.01	0.00000000
inheritance-tax-pensions-iht409		not	0.01	0.01	0.05603733	0.05603733	0.02	0.00000000
inheritance-tax-probate-summary-iht421		not	0.01	0.01	0.05244503	0.05244503	0.04	0.00000000
inheritance-tax-reduced-rate-of-inheritance-tax-iht430		not	0.01	0.01	0.04863949	0.04863949	0.01	0.00000000
inheritance-tax-return-of-estate-information-c5-2004-2006		not	0.01	0.01	0.09887819	0.09887819	0.01	0.00000000
inheritance-tax-return-of-estate-information-c5-2006		not	0.01	0.01	0.03408060	0.03408060	0.01	0.00000000
inheritance-tax-return-of-estate-information-c5-ouk-2006		not	0.01	0.02	0.03358879	0.05215588	0.01	0.00000000
inheritance-tax-return-of-estate-information-iht205-2011		not	0.01	0.16	0.05691147	0.41193285	0.04	0.00000000
inheritance-tax-return-of-estate-information-iht207-2006		not	0.01	0.04	0.02697763	0.08185186	0.01	0.00000000
inheritance-tax-stocks-and-shares-d32		not	0.01	0.01	0.09033375	0.09033375	0.01	0.00000000
inheritance-tax-termination-of-an-interest-in-possession-iht100b		not	0.01	0.01	0.01564693	0.01564693	0.01	0.00000000
inheritance-tax-unlisted-stocks-and-shares-and-control-holdings-iht412		not	0.01	0.01	0.01610270	0.01610270	0.01	0.00000000
inherited-metabolic-diseases-affected-not-detected-form		not	0.01	0.01	0.00980778	0.00980778	0.01	0.00000000
initial-application-to-market-in-the-eu-organic-products-from-third-countries		not	0.01	0.01	0.05143299	0.05143299	0.01	0.00000000
initial-certificates-of-approval-for-individual-road-vehicles-produced-under-a-design-type-authorisation-application-form-gv69		not	0.01	0.01	0.01427212	0.01427212	0.01	0.00000000
initial-notice-of-delay		not	0.01	0.01	0.00181522	0.00181522	0.01	0.00000000
initiation-of-proceedings-before-the-comptroller		not	0.01	0.02	0.01867132	0.03729181	0.01	0.00000000
insolvency-form-14-joint-bankruptcy-petition-against-individual-members		not	0.01	0.01	0.00599508	0.00599508	0.01	0.00000000
insolvency-form-15-affidavit-of-individual-members-as-to-concurrence-of-all-members-in-presentation-of-joint-bankruptcy-petition-against-individu		not	0.01	0.01	0.00419111	0.00419111	0.01	0.00000000
insolvency-form-16-bankruptcy-orders-on-joint-bankruptcy-petition-presented-by-individual-members		not	0.01	0.01	0.00472469	0.00472469	0.01	0.00000000
insolvency-form-17-statement-of-affairs-of-member-of-partnership		not	0.01	0.01	0.01556158	0.01556158	0.01	0.00000000
insolvency-form-18-statement-of-affairs-of-partnership		not	0.01	0.01	0.01257906	0.01257906	0.01	0.00000000
insolvency-form-bpdc-books-and-papers-matters-to-be-considered-before-destruction		not	0.01	0.01	0.00335312	0.00335312	0.01	0.00000000
insolvency-form-ml1-recognition-application		not	0.01	0.01	0.00467854	0.00467854	0.01	0.00000000
insolvency-form-ml2-recognition-order		not	0.01	0.01	0.00288372	0.00288372	0.01	0.00000000
insolvency-form-ml3-statement-of-subsequent-information		not	0.01	0.01	0.00255547	0.00255547	0.01	0.00000000
insolvency-form-ml4-originating-application		not	0.01	0.01	0.00282898	0.00282898	0.01	0.00000000
insolvency-form-ml5-ordinary-application		not	0.01	0.01	0.00260706	0.00260706	0.01	0.00000000
insolvency-form-ml6-affidavit-of-service-of-application		not	0.01	0.01	0.00406971	0.00406971	0.01	0.00000000
insolvency-form-ml7-notice-to-registrar-of-companies-of-order-under-the-cross-border-insolvency-regulations-2006		not	0.01	0.01	0.00347805	0.00347805	0.01	0.00000000
insolvency-form-ml8-notification-of-order-under-the-cross-border-insolvency-regulations-2006		not	0.01	0.01	0.00282221	0.00282221	0.01	0.00000000
insolvency-practitioner-sanctions-application-forms		not	0.01	0.02	0.00508270	0.00958157	0.02	0.00000000
insolvency-practitioners-administration-and-administrative-receivership-schedule-of-funds		not	0.01	0.01	0.00207434	0.00207434	0.01	0.00000000
insolvency-practitioners-creditors-and-members-voluntary-liquidation-schedule-of-funds		not	0.01	0.01	0.00205479	0.00205479	0.01	0.00000000
insolvency-practitioners-requisition-for-bacs-payment		not	0.01	0.01	0.05059347	0.05059347	0.01	0.00000000
insolvency-practitioners-requisition-for-cheques		not	0.01	0.01	0.05267229	0.05267229	0.01	0.00000000
insolvency-practitioners-requisition-for-dividend-cheques-payable-to-individual-creditors		not	0.01	0.01	0.09203510	0.09203510	0.01	0.00000000
inspecting-adoption-agencies-case-list-form		not	0.01	0.01	0.00483017	0.00483017	0.01	0.00000000
inspecting-residential-special-schools-post-welfare-inspection-survey		not	0.01	0.01	0.06818523	0.06818523	0.01	0.00000000
inspection-feedback-form		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
inspection-of-further-education-colleges-with-residential-provision-for-young-people-aged-under-18		not	0.01	0.01	0.05852652	0.05852652	0.01	0.00000000
installing-apparatus-in-a-highway-section-50-licence-nrswa-1991		not	0.01	0.02	0.02000532	0.02393160	0.02	0.00000000
insurance-premium-tax-group-member-details-ipt51		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
insurance-premium-tax-registration-form-ipt-1		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
insurance-premium-tax-send-your-online-return-ipt100		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
inter-agency-adoption-fee-evidence-sheet		not	0.01	0.02	0.00267029	0.00376053	0.01	0.00000000
intercountry-adoption-checklist-for-adoption-agencies		not	0.01	0.04	0.01805983	0.06146317	0.04	0.00000000
interim-authority-notice-under-the-licensing-act-2003		not	0.01	0.01	0.01591768	0.01591768	0.01	0.00000000
interim-land-association-management-application		not	0.02	0.02	0.00620623	0.01172619	0.02	0.00000000
international-child-abduction-and-contact-unit-application-form		not	0.01	0.02	0.02206306	0.04342222	0.03	0.00000000
international-child-abduction-unit-request-for-co-operation-form		not	0.01	0.02	0.04038095	0.05225840	0.01	0.00000000
international-tax-application-by-a-syndicate-manager-of-a-new-syndicate-sls-sm1		not	0.01	0.01	0.00793915	0.00793915	0.01	0.00000000
international-tax-application-by-a-syndicate-manager-of-an-existing-syndicate-sls-sm1a		not	0.01	0.01	0.00647364	0.00647364	0.01	0.00000000
international-tax-application-for-a-double-taxation-treaty-passport-dttp1		not	0.01	0.01	0.27514391	0.27514391	0.04	0.00000000
international-tax-double-taxation-treaty-relief-form-dt-company		not	0.01	0.01	0.05678625	0.05678625	0.02	0.00000000
international-tax-notification-of-a-loan-from-a-double-taxation-treaty-passport-holder-dttp2		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
international-tax-sections-757-to-767-income-tax-trading-and-other-income-act-2005-form-eu-interest-and-royalties		not	0.01	0.01	0.09407644	0.09407644	0.02	0.00000000
international-tax-uk-australia-double-taxation-convention-form-australia-company-2003		not	0.01	0.01	0.03871756	0.03871756	0.02	0.00000000
international-tax-uk-canada-double-taxation-convention-form-canada-company		not	0.01	0.01	0.02117577	0.02117577	0.01	0.00000000
international-tax-uk-france-double-taxation-convention-form-france-company		not	0.01	0.01	0.03168058	0.03168058	0.01	0.00000000
international-tax-uk-germany-double-taxation-convention-form-dt-company		not	0.01	0.01	0.03328924	0.03328924	0.01	0.00000000
international-tax-uk-ireland-double-taxation-convention-form-ireland-company		not	0.01	0.01	0.03834677	0.03834677	0.02	0.00000000
international-tax-uk-japan-double-taxation-convention-form-japan-2-dt		not	0.01	0.01	0.01921988	0.01921988	0.01	0.00000000
international-tax-uk-japan-double-taxation-convention-form-japan-3-dt		not	0.01	0.01	0.01709003	0.01709003	0.01	0.00000000
international-tax-uk-japan-double-taxation-convention-form-japan-4-dt		not	0.01	0.01	0.01730690	0.01730690	0.01	0.00000000
international-tax-uk-japan-double-taxation-convention-form-japan-company		not	0.01	0.01	0.01264400	0.01264400	0.01	0.00000000
international-tax-uk-netherlands-double-taxation-convention-form-netherlands-company		not	0.01	0.01	0.02614069	0.02614069	0.01	0.00000000
international-tax-uk-netherlands-taxation-convention-form-netherlands-direct-investor-company-credit		not	0.01	0.01	0.02020969	0.02020969	0.01	0.00000000
international-tax-uk-real-estate-investment-trusts-form-uk-reit-dt-company		not	0.01	0.01	0.01648045	0.01648045	0.01	0.00000000
international-tax-uk-south-africa-double-taxation-convention-form-south-africa-company		not	0.01	0.01	0.01613302	0.01613302	0.01	0.00000000
international-tax-uk-spain-double-taxation-convention-form-spain-company		not	0.01	0.01	0.02593241	0.02593241	0.01	0.00000000
international-tax-uk-sweden-double-taxation-convention-form-dt-company		not	0.01	0.01	0.03271446	0.03271446	0.01	0.00000000
international-tax-uk-switzerland-double-taxation-convention-form-switzerland-company		not	0.01	0.01	0.05391674	0.05391674	0.02	0.00000000
international-tax-uk-switzerland-double-taxation-convention-form-switzerland-companyenglish-french		not	0.01	0.01	0.05222139	0.05222139	0.02	0.00000000
international-tax-uk-switzerland-double-taxation-convention-form-switzerland-direct-investor-company-creditenglish-french		not	0.01	0.01	0.02479267	0.02479267	0.01	0.00000000
international-tax-uk-switzerland-double-taxation-convention-form-switzerland-direct-investor-company-creditenglish-german		not	0.01	0.01	0.02530079	0.02530079	0.01	0.00000000
international-tax-uk-usa-double-taxation-convention-form-us-company		not	0.01	0.01	0.03534813	0.03534813	0.01	0.00000000
international-tax-uk-usa-double-taxation-convention-form-us-company-uk-reit		not	0.01	0.01	0.02322140	0.02322140	0.01	0.00000000
international-visits-control-office-documentation		not	0.01	0.08	0.02077894	0.08902950	0.01	0.00000000
intrathecal-antibody-test-request-form		not	0.01	0.01	0.01954203	0.01954203	0.01	0.00000000
invasive-alien-species-permit-application		not	0.01	0.02	0.00810938	0.01575441	0.01	0.00000000
invitation-to-tender-fisheries-science-partnership-fsp-50		not	0.01	0.01	0.00740433	0.00740433	0.01	0.00000000
invitation-to-tender-fisheries-science-partnership-fsp-51		not	0.01	0.01	0.09806862	0.09806862	0.01	0.00000000
invitation-to-tender-fisheries-science-partnership-fsp-52		not	0.01	0.01	0.12629719	0.12629719	0.01	0.00000000
invitation-to-tender-fishery-science-partnership-fsp-49-primary-vessel		not	0.01	0.01	0.12714748	0.12714748	0.01	0.00000000
invitation-to-tender-fishery-science-partnership-fsp-49-secondary-vessel		not	0.01	0.01	0.00728292	0.00728292	0.01	0.00000000
iopn-search-verify-identity-pn1id		not	0.01	0.01	0.01568336	0.01568336	0.02	0.00000000
ipcc-call-for-experts-in-climate-change-and-land-use		not	0.01	0.01	0.01425362	0.01425362	0.01	0.00000000
ipcc-call-for-experts-to-produce-the-special-report-on-global-warming-of-15c		not	0.01	0.01	0.00852175	0.00852175	0.01	0.00000000
ipcc-call-for-uk-experts-in-climate-change-oceans-and-cryosphere		not	0.01	0.01	0.01313629	0.01313629	0.01	0.00000000
ipcc-methodology-report-call-for-uk-expert-nominations-2019-refinement-to-the-2006-ipcc-guidelines-for-national-greenhouse-gas-inventories		not	0.01	0.02	0.04697742	0.05595121	0.01	0.00000000
is-there-a-pre-existing-agreement-make-a-complaint		not	0.01	0.02	0.01818514	0.03548489	0.01	0.00000000
isa-manager-notification-of-changes		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
issp-primary-curriculum-project-application-form		not	0.01	0.01	0.00856695	0.00856695	0.01	0.00000000
italy-affirmationaffidavit-of-marital-status-forms		not	0.01	0.02	0.02343884	0.04651146	0.02	0.00000000
italy-notice-of-marriage-form		not	0.01	0.01	0.03055449	0.03055449	0.01	0.00000000
iva-appeal-application-form-iva-17		not	0.01	0.01	0.03156099	0.03156099	0.01	0.00000000
iva-application-form-for-light-goods-vehicles-up-to-3500kg-iva-1lg		not	0.01	0.02	0.22624569	0.27717133	0.03	0.00000000
iva-application-form-for-passenger-cars-iva-1c		not	0.01	0.02	0.20798483	0.27143049	0.05	0.00000000
iva-declaration-form-for-seat-belt-anchorage-compliance-iva-19a-and-19b		not	0.01	0.01	0.14420385	0.14420385	0.01	0.00000000
iva-tilt-justification-report-form-for-buses-and-coaches-iva-52a		not	0.01	0.01	0.14643602	0.14643602	0.02	0.00000000
jaco-judicial-appointment-complaint-form		not	0.01	0.02	0.23862877	0.25193377	0.02	0.00000000
jaco-judicial-conduct-complaint-form		not	0.01	0.04	0.37924261	0.76999598	0.04	0.00000000
jadteu-training-section-application-form-and-courses		not	0.01	0.02	0.02841482	0.04446449	0.04	0.00000000
job-application-form-british-embassy-guatemala-city		not	0.01	0.01	0.03115578	0.03115578	0.01	0.00000000
jointly-owned-property-trust-registration-jo		not	0.01	0.02	0.02797976	0.03472061	0.02	0.00000000
journey-log		not	0.02	0.13	0.08067608	0.25738945	0.02	0.00000000
jsp-375-health-and-safety-handbook-safety-forms		not	0.02	0.25	0.05112429	0.45798140	0.11	0.00000000
judicial-review-discretion-pro-forma		not	0.01	0.02	0.01752758	0.02773647	0.01	0.00000000
k1v-online-confidential-medical-information		not	0.01	0.01	0.04198399	0.04198399	0.03	0.00000000
keeping-a-wild-disabled-bird-licence-application		not	0.01	0.01	0.00587282	0.00587282	0.02	0.00000000
keeping-wild-birds-register-a-schedule-4-bird-for-commercial-use		not	0.01	0.01	0.03227272	0.03227272	0.02	0.00000000
keeping-wild-birds-register-captive-bred-chicks-and-ring-numbers		not	0.01	0.01	0.00944643	0.00944643	0.02	0.00000000
keeping-wild-birds-registration-of-schedule-4-birds		not	0.01	0.01	0.05168552	0.05168552	0.01	0.00000000
knowledge-sharing-project-re-using-ideas		not	0.01	0.01	0.00966949	0.00966949	0.01	0.00000000
l31-income-and-outgoings-for-self-employment-or-partnership		not	0.01	0.01	0.00670671	0.00670671	0.01	0.00000000
l4-gastrointestinal-bacteria-culture-referral-form		not	0.01	0.01	0.06470385	0.06470385	0.01	0.00000000
lac1-committal-form-for-directed-crown-court-cases		not	0.01	0.02	0.04479914	0.05135937	0.02	0.00000000
land-charge-registration-application-k1		not	0.01	0.02	0.03266239	0.03836651	0.01	0.00000000
land-charges-application-continuation-k10		not	0.01	0.01	0.00350981	0.00350981	0.01	0.00000000
land-charges-official-search-application-k15		not	0.01	0.02	0.03287363	0.03864164	0.01	0.00000000
land-charges-register-cancel-entry-k11adj		not	0.01	0.02	0.01706467	0.02181253	0.01	0.00000000
land-charges-register-certificate-of-cancellation-k20		not	0.01	0.02	0.03413305	0.04104328	0.01	0.00000000
land-charges-register-except-class-f-cancel-entry-k11		not	0.01	0.02	0.03293533	0.03866987	0.01	0.00000000
land-charges-register-office-copy-of-entry-k19		not	0.01	0.02	0.03127966	0.03719769	0.01	0.00000000
landfill-gas-risk-assessment-report-template		not	0.01	0.01	0.01157808	0.01157808	0.01	0.00000000
landfill-tax-application-for-registration-lt1		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
landfill-tax-apply-for-group-treatment-lt50		not	0.01	0.01	0.01555986	0.01555986	0.01	0.00000000
landfill-tax-apply-to-discount-the-water-content-of-waste-lt1wd		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
landfill-tax-group-member-details-lt51		not	0.01	0.01	0.00503693	0.00503693	0.01	0.00000000
landfill-tax-partnership-details-lt2		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
landfill-tax-provide-insolvency-details-lt769		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
landfill-tax-register-changes-to-landfill-site-details-lt1b		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
landfill-tax-register-landfill-site-details-lt1a		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
landfill-tax-send-your-online-return-lt100		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
landfill-tax-site-operator-agreement-to-water-discount-scheme-lt4wd		not	0.01	0.0	0.00000000	0.00000000	0.02	0.00000000
landfill-tax-transfer-a-registration-number-lt68		not	0.01	0.01	0.01206684	0.01206684	0.01	0.00000000
large-goods-vehicle-lgv-instructor-pre-set-tests		not	0.01	0.08	0.01248989	0.09760494	0.01	0.00000000
late-additions-and-declarations-of-priority		not	0.01	0.03	0.02115765	0.04872446	0.01	0.00000000
leases-prescribed-clauses-table		not	0.01	0.01	0.00613766	0.00613766	0.01	0.00000000
leases-prescribed-clauses-text		not	0.01	0.01	0.00539503	0.00539503	0.01	0.00000000
legal-aid-exceptional-case-funding-form-and-guidance		not	0.01	0.08	0.07849617	0.28018541	0.07	0.00000000
legal-aid-representative-nomination-form--2		not	0.01	0.01	0.00650806	0.00650806	0.01	0.00000000
legal-charges-obligation-for-further-advances-ch2		not	0.01	0.02	0.03248930	0.04177322	0.03	0.00000000
legal-charges-registration-ch1		not	0.01	0.02	0.03061695	0.03711567	0.02	0.00000000
legal-charges-security-ch3		not	0.01	0.02	0.03249416	0.04164486	0.03	0.00000000
legalisation-premium-service-registration-form		not	0.01	0.01	0.00360565	0.00360565	0.02	0.00000000
leptospirosis-request-form		not	0.01	0.01	0.09870625	0.09870625	0.03	0.00000000
lessons-learnt-on-dialysis-leaflet		not	0.01	0.01	0.00916681	0.00916681	0.01	0.00000000
lf1-claim-litigator-fees		not	0.01	0.05	0.01737442	0.06188526	0.02	0.00000000
lf2-apply-for-a-litigator-fee-review		not	0.01	0.01	0.00790358	0.00790358	0.01	0.00000000
licence-for-police-forces-to-interfere-with-protected-species-during-crime-investigations		not	0.01	0.02	0.01675110	0.02400732	0.01	0.00000000
licence-to-possess-plants-and-animals-for-scientific-purposes		not	0.01	0.01	0.03191977	0.03191977	0.05	0.00000000
licence-to-protect-fisheries-from-fish-eating-birds		not	0.01	0.03	0.22467670	0.32017870	0.02	0.00000000
licence-to-sell-animal-specimens-taken-before-october-1981		not	0.01	0.01	0.04265518	0.04265518	0.04	0.00000000
licence-to-sell-protected-plants-and-animals		not	0.01	0.02	0.04838848	0.08544016	0.02	0.00000000
licensed-testing-station-application		not	0.01	0.02	0.04382668	0.08718576	0.01	0.00000000
licensee-compliance-statement-2011		not	0.01	0.01	0.01479759	0.01479759	0.01	0.00000000
life-chances-fund		not	0.02	0.08	0.17393942	0.40346184	0.06	0.00000000
life-in-the-uk-test-exemption-long-term-physical-or-mental-condition		not	0.01	0.01	0.00612745	0.00612745	0.01	0.00000000
life-opportunities-survey-feedback-form		not	0.03	0.01	0.00468359	0.00468359	0.01	0.00000000
list-of-public-service-vehicles-psv430		not	0.01	0.02	0.04093952	0.07171650	0.02	0.00000000
listeria-enhanced-surveillance-questionnaire		not	0.01	0.02	0.03657751	0.06540480	0.01	0.00000000
listeria-enhanced-surveillance-questionnaire-for-microbiologists		not	0.01	0.01	0.01024580	0.01024580	0.01	0.00000000
little-whirlpool-ramshorn-snails-licence-for-ditch-maintenance		not	0.01	0.04	0.05982752	0.11620636	0.04	0.00000000
live-animals-not-pet-dogs-cats-ferrets-application-for-import-licence		not	0.01	0.02	0.01816425	0.03189678	0.02	0.00000000
local-authority-competition-fund-application-pack		not	0.01	0.02	0.03036413	0.05996075	0.01	0.00000000
local-charities-and-community-groups-match-fund-application-and-guidance		not	0.02	0.03	0.09583435	0.13348265	0.01	0.00000000
local-cycling-and-walking-infrastructure-plan-technical-support-expression-of-interest-form		not	0.01	0.02	0.03927546	0.04556007	0.01	0.00000000
local-government-pension-scheme-funds-account-return		not	0.01	0.03	0.06555662	0.13462515	0.02	0.00000000
location-application-form		not	0.01	0.01	0.00444574	0.00444574	0.01	0.00000000
lord-ferrers-awards		not	0.01	0.03	0.03471889	0.04554920	0.02	0.00000000
lord-glenamara-memorial-prize-nomination-form		not	0.01	0.01	0.00719252	0.00719252	0.02	0.00000000
lost-or-destroyed-deeds-statement-of-truth-st3		not	0.01	0.02	0.03858585	0.04761429	0.02	0.00000000
lottery-duty-send-your-online-return-bd600		not	0.01	0.0	0.00000000	0.00000000	0.01	0.00000000
lyme-disease-test-request-form		not	0.01	0.01	0.06086750	0.06086750	0.02	0.00000000
m1-online-confidential-medical-information		not	0.01	0.01	0.04280071	0.04280071	0.04	0.00000000
m1v-online-confidential-medical-information		not	0.01	0.01	0.04177942	0.04177942	0.03	0.00000000
maa-course-application-forms		not	0.02	0.06	0.01809225	0.06292572	0.19	0.00000000
maa-request-for-change-form		not	0.02	0.01	0.02397461	0.02397461	0.01	0.00000000
mainstream-and-16-to-19-free-school-applications		not	0.01	0.03	0.10276337	0.15300703	0.11	0.00000000
mainstream-and-16-to-19-free-school-financial-template		not	0.01	0.02	0.52549114	0.55774708	0.05	0.00000000
major-projects-authority-how-to-become-an-assurance-reviewer		not	0.02	0.03	0.06522970	0.13451385	0.03	0.00000000
make-a-lasting-power-of-attorney		not	0.01	0.1	0.30171461	1.22085495	0.14	0.00000000
make-statement-of-affairs-in-administrative-receivership-33		not	0.01	0.01	0.00297375	0.00297375	0.01	0.00000000
make-statement-of-companys-affairs-420		not	0.01	0.01	0.00298166	0.00298166	0.01	0.00000000
make-statement-of-solvency-by-members-of-societas-europaea-se-ss01		not	0.01	0.02	0.10626936	0.11032648	0.01	0.00000000
malaria-report-form		not	0.01	0.01	0.03650970	0.03650970	0.01	0.00000000
malaria-risk-assessment-form		not	0.01	0.01	0.02897835	0.02897835	0.01	0.00000000
mallard-ducks-licence-to-take-eggs-and-rear-and-release-chicks		not	0.01	0.01	0.02788534	0.02788534	0.04	0.00000000
managing-clusters-of-pneumococcal-disease-in-closed-settings		not	0.01	0.01	0.05988140	0.05988140	0.01	0.00000000
manila-end-sexual-violence-in-conflict-essay-competition-form		not	0.01	0.01	0.19798632	0.19798632	0.01	0.00000000
manual-of-guidance-drink-and-drug-driving-mgdd		not	0.01	0.06	0.07713728	0.22621479	0.05	0.00000000
manufacturer-application-for-approval-as-a-workshop-for-recording-equipment-gv207-m		not	0.01	0.01	0.02754860	0.02754860	0.01	0.00000000
marac-co-ordinator-administrator-grant-application-form		not	0.01	0.01	0.01649742	0.01649742	0.01	0.00000000
marine-scientific-research-application-form-for-the-uk-and-overseas-territories		not	0.01	0.01	0.00280294	0.00280294	0.01	0.00000000
mariners-national-insurance-questionnaire		not	0.01	0.01	0.01507921	0.01507921	0.02	0.00000000
marital-status-certificate-for-marriage-application-pack		not	0.01	0.01	0.08643093	0.08643093	0.01	0.00000000
marital-status-certificate-for-pareja-de-hecho		not	0.01	0.01	0.08655710	0.08655710	0.01	0.00000000
marital-status-example		not	0.01	0.01	0.02475786	0.02475786	0.01	0.00000000
maternity-allowance-statistics-user-questionnaire		not	0.01	0.01	0.00218153	0.00218153	0.01	0.00000000
maths-hubs-expression-of-interest-form		not	0.01	0.02	0.04013176	0.04893589	0.02	0.00000000
mealy-redpoll-licence-to-sell-and-exhibit-ringed-mealy-redpoll		not	0.01	0.01	0.03584900	0.03584900	0.04	0.00000000
measles-mumps-and-rubella-mmr-letter-for-parents-and-form-for-oral-fluid-swab		not	0.01	0.02	0.27299404	0.28850794	0.01	0.00000000
measles-mumps-and-rubella-mmr-surveillance-form		not	0.01	0.01	0.00952101	0.00952101	0.01	0.00000000
measles-mumps-or-rubella-mmr-referral-form		not	0.01	0.01	0.06272659	0.06272659	0.01	0.00000000
medical-and-dental-officer-bonus-application-form		not	0.01	0.01	0.00340481	0.00340481	0.01	0.00000000
medical-notification-fitness-to-drive		not	0.01	0.01	0.01685095	0.01685095	0.01	0.00000000
medicines-application-form-for-manufacturer-specials-licence		not	0.01	0.01	0.11963129	0.11963129	0.01	0.00000000
medicines-application-forms-for-a-manufacturer-licence		not	0.01	0.05	0.14206514	0.53877106	0.01	0.00000000
medicines-forms-to-make-a-variation-to-a-blood-establishment-authorisation		not	0.01	0.06	0.07058125	0.29670362	0.01	0.00000000
medicines-marketing-authorisation-change-of-ownership-application		not	0.01	0.02	0.00658426	0.01076527	0.03	0.00000000
medicines-variation-forms-for-a-manufacturer-licence		not	0.01	0.12	0.09610357	0.63760977	0.03	0.00000000
memorandum-of-understanding-for-china-prosperity-spf-projects		not	0.01	0.01	0.02423496	0.02423496	0.01	0.00000000
meningococcal-disease-enhanced-surveillance-forms		not	0.01	0.06	0.11300678	0.15773411	0.03	0.00000000
meningococcal-reference-unit-request-form		not	0.01	0.02	0.01418276	0.02568750	0.01	0.00000000
mental-health-heroes-nomination-form		not	0.01	0.01	0.00401649	0.00401649	0.02	0.00000000
mental-health-legal-help-and-representation		not	0.01	0.03	0.01825209	0.03391914	0.01	0.00000000
merchant-navy-medal-application-form		not	0.01	0.02	0.08050289	0.14342251	0.01	0.00000000
merchant-navy-medal-for-meritorious-service-nomination-form		not	0.02	0.02	0.03720798	0.04418402	0.02	0.00000000
merged-logical-framework-of-peace-support-programme-nepal		not	0.01	0.01	0.00480032	0.00480032	0.01	0.00000000
mergers-forms-and-fee-information		not	0.01	0.02	0.08024883	0.15139427	0.01	0.00000000
mers-cov-confirmatory-testing-request-form		not	0.01	0.01	0.01958637	0.01958637	0.02	0.00000000
mers-cov-minimum-data-set-form-for-possible-cases		not	0.01	0.01	0.00469484	0.00469484	0.03	0.00000000
mesothelioma-payment-claim-form		not	0.01	0.02	0.01416187	0.02633410	0.01	0.00000000
method-statement-to-support-a-mitigation-licence-application		not	0.02	0.01	0.01413631	0.01413631	0.01	0.00000000
